date                   ,end_date               ,label
2020-03-13 08:26:45.196,2020-03-13 08:27:11.669,Coin cuisine
2020-03-13 08:27:11.669,2020-03-13 08:27:37.095,Placard cuisine
2020-03-13 08:27:37.095,2020-03-13 08:27:56.111,Coin cuisine
2020-03-13 08:27:56.111,2020-03-13 08:28:09.589,Réfrigérateur
2020-03-13 08:28:09.589,2020-03-13 08:28:16.358,Coin cuisine
2020-03-13 08:28:16.358,2020-03-13 08:28:21.258,Réfrigérateur
2020-03-13 08:28:21.258,2020-03-13 08:29:54.359,Coin cuisine
2020-03-13 08:29:54.359,2020-03-13 08:30:02.275,Placard cuisine
2020-03-13 08:30:02.275,2020-03-13 08:30:13.874,Coin cuisine
2020-03-13 08:30:13.874,2020-03-13 08:30:46.434,Placard cuisine
2020-03-13 08:30:46.434,2020-03-13 08:31:43.992,Coin cuisine
2020-03-13 08:31:50.975,2020-03-13 08:34:45.292,Couloir principal
2020-03-13 08:34:47.526,2020-03-13 08:44:13.576,Coin cuisine
2020-03-13 08:44:14.619,2020-03-13 08:49:37.943,Couloir principal
2020-03-13 08:49:37.943,2020-03-13 08:54:43.202,Coin cuisine
2020-03-13 08:49:44.524,2020-03-13 08:54:50.683,Réfrigérateur
2020-03-13 08:54:50.683,2020-03-13 08:55:57.840,Coin cuisine
2020-03-13 08:55:57.840,2020-03-13 08:56:15.736,Réfrigérateur
2020-03-13 08:56:15.736,2020-03-13 08:56:31.592,Coin cuisine
2020-03-13 08:56:35.825,2020-03-13 08:56:47.989,Couloir principal
2020-03-13 08:58:06.374,2020-03-13 08:58:33.594,Chambre à coucher
2020-03-13 09:10:25.609,2020-03-13 09:10:41.033,Coin cuisine
2020-03-13 09:10:30.188,2020-03-13 09:10:47.745,Couloir principal
2020-03-13 09:10:41.033,2020-03-13 09:14:14.911,Coin cuisine
2020-03-13 09:14:14.911,2020-03-13 11:13:53.146,Sortie de maison
2020-03-13 11:13:53.146,2020-03-13 11:16:44.302,Couloir principal
2020-03-13 11:16:44.302,2020-03-13 11:19:52.723,Coin cuisine
2020-03-13 11:25:33.549,2020-03-13 11:34:32.531,Salon
2020-03-13 11:34:32.531,2020-03-13 11:46:38.586,Coin cuisine
2020-03-13 11:46:32.780,2020-03-13 11:48:29.351,Couloir principal
2020-03-13 11:46:38.586,2020-03-13 11:48:51.194,Toilette
2020-03-13 11:48:51.194,2020-03-13 11:52:52.541,Chambre à coucher
2020-03-13 11:53:04.415,2020-03-13 11:53:09.889,Couloir principal
2020-03-13 11:54:05.580,2020-03-13 11:59:51.614,Chambre à coucher
2020-03-13 11:59:51.614,2020-03-13 12:00:47.247,Couloir principal
2020-03-13 12:06:40.151,2020-03-13 12:19:29.230,Coin cuisine
2020-03-13 12:19:29.230,2020-03-13 12:19:37.134,Placard cuisine
2020-03-13 12:19:37.134,2020-03-13 12:20:41.313,Coin cuisine
2020-03-13 12:20:42.569,2020-03-13 12:20:49.019,Placard cuisine
2020-03-13 12:26:11.765,2020-03-13 12:27:49.273,Coin cuisine
2020-03-13 12:28:31.861,2020-03-13 12:28:41.236,Salon
2020-03-13 12:28:41.236,2020-03-13 12:28:54.600,Terrasse
2020-03-13 12:28:54.600,2020-03-13 12:29:01.011,Salon
2020-03-13 12:29:31.021,2020-03-13 12:36:35.473,Coin cuisine
2020-03-13 12:36:35.473,2020-03-13 12:36:42.903,Réfrigérateur
2020-03-13 12:36:36.659,2020-03-13 12:37:19.565,Coin cuisine
2020-03-13 12:36:42.903,2020-03-13 12:37:27.460,Salon
2020-03-13 12:37:19.565,2020-03-13 12:37:33.949,Terrasse
2020-03-13 12:37:27.460,2020-03-13 12:45:40.960,Salon
2020-03-13 12:45:40.960,2020-03-13 12:53:16.149,Coin cuisine
2020-03-13 12:53:33.906,2020-03-13 12:54:28.506,Couloir principal
2020-03-13 12:54:28.506,2020-03-13 12:55:51.187,Toilette
2020-03-13 12:55:51.187,2020-03-13 12:56:20.163,Couloir principal
2020-03-13 12:56:20.163,2020-03-13 13:11:07.322,Coin cuisine
2020-03-13 13:11:07.322,2020-03-13 13:11:33.211,Réfrigérateur
2020-03-13 13:11:33.211,2020-03-13 13:22:33.644,Coin cuisine
2020-03-13 13:22:33.644,2020-03-13 13:23:13.201,Placard cuisine
2020-03-13 13:23:09.130,2020-03-13 13:23:19.123,Coin cuisine
2020-03-13 13:26:56.973,2020-03-13 13:37:49.929,Coin cuisine
2020-03-13 13:42:44.162,2020-03-13 13:43:07.089,Salon
