date                   ,end_date               ,label
2020-06-26 18:09:28.550,2020-06-26 18:09:36.106,Cuisine
2020-06-26 18:09:36.106,2020-06-26 18:10:06.259,Chambre
2020-06-26 18:10:06.259,2020-06-26 18:10:15.808,Cuisine
2020-06-26 18:10:10.831,2020-06-26 18:10:24.283,Chambre
2020-06-26 18:10:15.808,2020-06-26 18:10:28.380,Cuisine
2020-06-26 18:10:28.380,2020-06-26 18:10:48.538,Chambre
2020-06-26 18:10:48.538,2020-06-26 18:11:01.612,Cuisine
2020-06-26 18:12:32.721,2020-06-26 18:12:34.379,Cuisine
2020-06-26 18:12:34.379,2020-06-26 18:12:45.279,Chambre
2020-06-26 18:12:35.409,2020-06-26 18:12:50.052,Cuisine
2020-06-26 18:12:45.279,2020-06-26 18:12:54.722,Chambre
2020-06-26 18:12:50.052,2020-06-26 18:12:56.051,Cuisine
2020-06-26 18:12:54.722,2020-06-26 18:13:07.138,Chambre
2020-06-26 18:12:56.051,2020-06-26 18:13:10.199,Cuisine
2020-06-26 18:13:07.138,2020-06-26 18:13:14.945,Chambre
2020-06-26 18:13:10.199,2020-06-26 18:13:16.750,Cuisine
2020-06-26 18:13:16.750,2020-06-26 18:13:41.370,Chambre
2020-06-26 18:13:41.370,2020-06-26 18:13:47.901,Cuisine
2020-06-26 18:13:47.901,2020-06-26 18:13:56.996,Chambre
2020-06-26 18:13:56.996,2020-06-26 18:14:06.124,Cuisine
2020-06-26 18:14:06.124,2020-06-26 18:14:37.328,Chambre
2020-06-26 18:14:37.328,2020-06-26 18:14:51.432,Cuisine
2020-06-26 18:15:26.782,2020-06-26 18:15:38.916,Cuisine
2020-06-26 18:16:26.948,2020-06-26 18:16:41.532,Cuisine
2020-06-26 18:16:41.532,2020-06-26 18:17:09.724,Chambre
2020-06-26 18:17:09.724,2020-06-26 18:17:15.789,Cuisine
2020-06-26 18:17:12.414,2020-06-26 18:17:24.629,Chambre
2020-06-26 18:17:15.789,2020-06-26 18:17:29.867,Cuisine
2020-06-26 18:18:09.268,2020-06-26 18:18:25.386,Cuisine
2020-06-26 18:19:01.285,2020-06-26 18:19:06.915,Cuisine
2020-06-26 18:19:02.597,2020-06-26 18:19:15.489,Chambre
2020-06-26 18:19:06.915,2020-06-26 18:19:17.019,Cuisine
2020-06-26 18:19:15.489,2020-06-26 18:19:24.091,Chambre
2020-06-26 18:19:17.019,2020-06-26 18:19:27.112,Cuisine
2020-06-26 18:20:07.747,2020-06-26 18:20:18.324,Cuisine
2020-06-26 18:20:18.324,2020-06-26 18:20:41.058,Chambre
2020-06-26 18:20:41.058,2020-06-26 18:21:00.262,Cuisine
2020-06-26 18:21:00.262,2020-06-26 18:21:00.502,Chambre
2020-06-26 18:21:00.502,2020-06-26 18:21:14.122,Cuisine
2020-06-26 18:21:14.122,2020-06-26 18:21:21.135,Chambre
2020-06-26 18:21:21.135,2020-06-26 18:21:32.758,Cuisine
2020-06-26 18:21:32.758,2020-06-26 18:21:50.459,Chambre
2020-06-26 18:21:50.459,2020-06-26 18:22:04.578,Cuisine
2020-06-26 18:22:04.578,2020-06-26 18:22:17.597,Chambre
2020-06-26 18:22:17.597,2020-06-26 18:22:36.234,Cuisine
2020-06-26 18:22:36.234,2020-06-26 18:22:38.329,Chambre
2020-06-26 18:22:38.329,2020-06-26 18:22:47.385,Cuisine
2020-06-26 18:22:47.385,2020-06-26 18:22:57.957,Chambre
2020-06-26 18:22:57.957,2020-06-26 18:23:09.070,Cuisine
2020-06-26 18:23:09.070,2020-06-26 18:23:27.700,Chambre
2020-06-26 18:23:27.700,2020-06-26 18:23:37.770,Cuisine
2020-06-26 18:23:37.770,2020-06-26 18:24:02.002,Chambre
2020-06-26 18:24:02.002,2020-06-26 18:24:07.518,Cuisine
2020-06-26 18:24:07.518,2020-06-26 18:24:37.438,Chambre
2020-06-26 18:24:37.438,2020-06-26 18:24:50.533,Cuisine
2020-06-26 18:24:50.533,2020-06-26 18:25:07.598,Chambre
2020-06-26 18:25:07.598,2020-06-26 18:25:22.667,Cuisine
2020-06-26 18:25:11.891,2020-06-26 18:25:25.041,Chambre
2020-06-26 18:25:22.667,2020-06-26 18:25:32.251,Cuisine
2020-06-26 18:25:25.041,2020-06-26 18:25:37.112,Chambre
