date                   ,end_date               ,label
2020-06-11 23:35:34.006,2020-06-11 23:35:42.310,Bureau
2020-06-11 23:36:25.431,2020-06-11 23:42:24.371,Toilette
2020-06-11 23:42:24.371,2020-06-11 23:47:10.072,Salle de bain
2020-06-11 23:47:19.259,2020-06-12 04:23:29.370,Chambre à coucher
2020-06-12 04:23:29.370,2020-06-12 04:30:16.159,Toilette
2020-06-12 04:30:16.159,2020-06-12 04:30:48.980,Chambre à coucher
2020-06-12 04:31:05.266,2020-06-12 04:31:13.535,Bureau
2020-06-12 04:31:28.150,2020-06-12 06:41:50.186,Chambre à coucher
2020-06-12 06:41:50.186,2020-06-12 06:42:02.708,Toilette
2020-06-12 06:41:59.435,2020-06-12 06:45:07.115,Chambre à coucher
2020-06-12 06:42:02.708,2020-06-12 06:45:12.207,Toilette
2020-06-12 06:45:07.115,2020-06-12 06:46:31.384,Salle de bain
2020-06-12 06:46:31.384,2020-06-12 06:46:58.069,Bureau
2020-06-12 06:47:14.974,2020-06-12 06:47:38.383,Salon
2020-06-12 06:47:54.852,2020-06-12 06:54:48.267,Salle manger ancienne Cuisine
2020-06-12 06:54:52.733,2020-06-12 06:54:57.721,Placard buffet
2020-06-12 06:54:58.892,2020-06-12 07:09:12.188,Salle manger ancienne Cuisine
2020-06-12 07:09:12.188,2020-06-12 07:09:36.064,Placard 1
2020-06-12 07:09:36.064,2020-06-12 07:10:26.695,Chambre à coucher
2020-06-12 07:10:26.695,2020-06-12 07:10:48.161,Placard Penderie
2020-06-12 07:10:48.161,2020-06-12 07:10:48.337,Chambre à coucher
2020-06-12 07:10:57.417,2020-06-12 07:11:07.801,Salle manger ancienne Cuisine
2020-06-12 07:11:07.801,2020-06-12 07:11:17.425,Réfrigérateur
2020-06-12 07:11:17.425,2020-06-12 07:11:23.892,Salle manger ancienne Cuisine
2020-06-12 07:11:23.892,2020-06-12 07:11:28.963,Réfrigérateur
2020-06-12 07:11:28.963,2020-06-12 07:20:01.295,Salle manger ancienne Cuisine
2020-06-12 07:20:31.078,2020-06-12 07:22:27.078,Toilette
2020-06-12 07:22:27.078,2020-06-12 07:23:07.937,Salle de bain
2020-06-12 07:23:07.937,2020-06-12 07:25:26.698,Salle manger ancienne Cuisine
2020-06-12 07:25:44.289,2020-06-12 07:25:54.315,Bureau
2020-06-12 07:26:12.651,2020-06-12 07:26:21.502,Salon
2020-06-12 07:26:29.589,2020-06-12 07:26:50.613,Salle manger ancienne Cuisine
2020-06-12 07:26:56.858,2020-06-12 07:27:24.225,Chambre à coucher
2020-06-12 07:27:44.039,2020-06-12 07:32:55.539,Salon
2020-06-12 07:34:54.480,2020-06-12 07:35:55.104,Chambre à coucher
2020-06-12 07:36:30.339,2020-06-12 07:39:28.719,Salon
2020-06-12 07:39:38.044,2020-06-12 07:40:02.608,Chambre à coucher
2020-06-12 07:55:34.626,2020-06-12 07:55:47.937,Toilette
2020-06-12 07:55:47.937,2020-06-12 07:56:01.044,Chambre à coucher
2020-06-12 07:56:19.578,2020-06-12 07:57:10.109,Salle manger ancienne Cuisine
2020-06-12 07:57:23.162,2020-06-12 08:14:21.479,Salon
2020-06-12 08:14:58.428,2020-06-12 08:15:22.658,Bureau
2020-06-12 08:15:22.658,2020-06-12 08:15:30.620,Ordinateur
2020-06-12 08:15:30.620,2020-06-12 08:37:59.631,Bureau
2020-06-12 08:38:27.025,2020-06-12 08:40:56.239,Salle manger ancienne Cuisine
2020-06-12 08:41:06.712,2020-06-12 09:02:27.308,Bureau
2020-06-12 09:02:42.119,2020-06-12 09:04:53.700,Salon
2020-06-12 09:05:18.243,2020-06-12 09:30:08.085,Bureau
2020-06-12 09:30:08.085,2020-06-12 09:36:19.496,Chambre à coucher
2020-06-12 09:36:19.496,2020-06-12 09:37:30.857,Bureau
2020-06-12 09:37:44.839,2020-06-12 09:38:32.611,Salle manger ancienne Cuisine
2020-06-12 09:38:52.503,2020-06-12 09:48:50.479,Bureau
2020-06-12 09:49:10.986,2020-06-12 09:49:22.119,Salle manger ancienne Cuisine
2020-06-12 09:49:32.052,2020-06-12 10:12:58.052,Bureau
2020-06-12 10:12:58.052,2020-06-12 10:18:54.194,Chambre à coucher
2020-06-12 10:18:54.194,2020-06-12 10:19:44.873,Bureau
2020-06-12 10:20:05.618,2020-06-12 10:20:18.286,Salle manger ancienne Cuisine
2020-06-12 10:20:34.984,2020-06-12 10:24:06.674,Salon
2020-06-12 10:24:25.203,2020-06-12 10:24:37.688,Bureau
2020-06-12 10:24:46.879,2020-06-12 10:49:27.683,Salon
2020-06-12 10:49:27.683,2020-06-12 10:56:44.577,Toilette
2020-06-12 10:52:24.102,2020-06-12 10:56:49.656,Salle manger ancienne Cuisine
2020-06-12 10:56:44.577,2020-06-12 10:56:53.033,Salle de bain
2020-06-12 10:56:53.033,2020-06-12 10:56:53.182,Salle manger ancienne Cuisine
2020-06-12 10:57:02.129,2020-06-12 11:13:12.324,Salon
2020-06-12 11:13:30.769,2020-06-12 11:18:41.782,Bureau
2020-06-12 11:18:51.464,2020-06-12 11:22:51.834,Chambre à coucher
2020-06-12 11:23:07.348,2020-06-12 11:23:20.756,Salle manger ancienne Cuisine
2020-06-12 11:23:28.978,2020-06-12 11:23:57.130,Salon
2020-06-12 11:24:04.049,2020-06-12 11:26:21.267,Salle manger ancienne Cuisine
2020-06-12 11:26:55.319,2020-06-12 11:27:21.729,Salle manger ancienne Cuisine
2020-06-12 11:27:48.179,2020-06-12 11:30:13.447,Salon
2020-06-12 11:30:22.069,2020-06-12 11:30:38.070,Salle manger ancienne Cuisine
2020-06-12 11:30:49.884,2020-06-12 11:38:33.427,Bureau
2020-06-12 11:38:49.544,2020-06-12 11:42:22.945,Salle manger ancienne Cuisine
2020-06-12 11:42:22.945,2020-06-12 11:42:40.007,Placard buffet
2020-06-12 11:42:40.007,2020-06-12 11:42:40.361,Salle manger ancienne Cuisine
2020-06-12 11:42:40.361,2020-06-12 11:42:54.342,Placard buffet
2020-06-12 11:42:54.342,2020-06-12 11:45:34.313,Salle manger ancienne Cuisine
2020-06-12 11:45:34.313,2020-06-12 11:45:47.813,Réfrigérateur
2020-06-12 11:45:47.813,2020-06-12 11:45:53.166,Salle manger ancienne Cuisine
2020-06-12 11:45:53.166,2020-06-12 11:46:01.619,Réfrigérateur
2020-06-12 11:46:01.619,2020-06-12 11:52:12.710,Salle manger ancienne Cuisine
2020-06-12 11:52:12.710,2020-06-12 11:52:38.237,Réfrigérateur
2020-06-12 11:52:38.237,2020-06-12 11:58:31.294,Salle manger ancienne Cuisine
2020-06-12 11:58:31.294,2020-06-12 11:58:37.285,Placard buffet
2020-06-12 11:58:32.505,2020-06-12 11:58:41.500,Salle manger ancienne Cuisine
2020-06-12 11:58:37.285,2020-06-12 11:58:45.429,Placard buffet
2020-06-12 11:58:45.429,2020-06-12 11:59:47.161,Salle manger ancienne Cuisine
2020-06-12 11:59:47.161,2020-06-12 12:00:14.255,Toilette
2020-06-12 12:00:14.255,2020-06-12 12:01:10.402,Salle manger ancienne Cuisine
2020-06-12 12:01:10.402,2020-06-12 12:01:20.840,Réfrigérateur
2020-06-12 12:01:15.329,2020-06-12 12:01:23.352,Salle manger ancienne Cuisine
2020-06-12 12:01:20.840,2020-06-12 12:01:30.295,Réfrigérateur
2020-06-12 12:01:30.295,2020-06-12 12:02:35.813,Salle manger ancienne Cuisine
2020-06-12 12:02:35.813,2020-06-12 12:02:49.858,Réfrigérateur
2020-06-12 12:02:49.858,2020-06-12 12:20:21.269,Salle manger ancienne Cuisine
2020-06-12 12:20:21.269,2020-06-12 12:20:36.854,Placard buffet
2020-06-12 12:20:36.854,2020-06-12 12:25:25.857,Salle manger ancienne Cuisine
2020-06-12 12:25:25.857,2020-06-12 12:25:32.346,Réfrigérateur
2020-06-12 12:25:32.346,2020-06-12 12:25:47.708,Salle manger ancienne Cuisine
2020-06-12 12:25:47.708,2020-06-12 12:25:58.670,Réfrigérateur
2020-06-12 12:25:58.670,2020-06-12 12:39:11.607,Salle manger ancienne Cuisine
2020-06-12 12:39:36.429,2020-06-12 12:40:37.883,Salle de bain
2020-06-12 12:41:21.722,2020-06-12 12:42:06.100,Salle manger ancienne Cuisine
2020-06-12 12:42:06.100,2020-06-12 12:42:17.712,Réfrigérateur
2020-06-12 12:42:17.712,2020-06-12 12:44:18.834,Salle manger ancienne Cuisine
2020-06-12 12:44:46.747,2020-06-12 12:53:19.579,Bureau
2020-06-12 12:53:19.579,2020-06-12 12:53:24.029,Ordinateur
2020-06-12 12:53:21.633,2020-06-12 12:53:35.049,Bureau
2020-06-12 12:53:35.049,2020-06-12 13:01:52.983,Salle manger ancienne Cuisine
2020-06-12 13:01:52.983,2020-06-12 13:07:00.268,Toilette
2020-06-12 13:07:00.268,2020-06-12 13:07:14.179,Bureau
2020-06-12 13:07:25.221,2020-06-12 13:07:35.839,Salle manger ancienne Cuisine
2020-06-12 13:07:39.025,2020-06-12 13:19:31.696,Salon
2020-06-12 13:19:53.876,2020-06-12 13:19:53.999,Salle manger ancienne Cuisine
2020-06-12 13:19:53.999,2020-06-12 13:20:32.127,Salle de bain
2020-06-12 13:20:32.127,2020-06-12 13:21:00.333,Salle manger ancienne Cuisine
2020-06-12 13:23:13.241,2020-06-12 17:15:19.241,Chambre à coucher
2020-06-12 14:23:01.895,2020-06-12 17:15:44.309,Sortie de maison
2020-06-12 17:15:44.309,2020-06-12 17:17:03.127,Salle manger ancienne Cuisine
2020-06-12 17:17:03.127,2020-06-12 17:20:24.511,Toilette
2020-06-12 17:20:17.452,2020-06-12 17:21:14.857,Salle de bain
2020-06-12 17:21:14.857,2020-06-12 17:55:13.258,Salle manger ancienne Cuisine
2020-06-12 17:55:26.036,2020-06-12 17:56:08.062,Salon
2020-06-12 17:56:21.640,2020-06-12 17:56:31.096,Salle manger ancienne Cuisine
